-3.2953 1.9078 
-0.1143 1.1743 
-5.0053 2.1188 
-0.0800 1.1414 
-0.4101 1.3202 
-3.0654 1.8763 
-11.5355 2.6982 
-12.9117 2.7971 
-1.1487 1.5359 
-2.9297 1.8558 
-21.0824 3.2963 
-7.8414 2.4001 
-30.0611 3.7416 
-21.4373 3.3153 
-4.1886 2.0244 
-8.9641 2.4970 
-3.0608 1.8748 
-5.5799 2.1819 
-4.3589 2.0439 
-4.0640 2.0080 
-12.9187 2.7974 
-17.7769 3.1081 
-20.1874 3.2465 
-15.0160 2.9376 
-13.0694 2.8076 
-0.0095 1.0488 
-0.1639 1.2024 
-5.5452 2.1775 
-0.0026 1.0315 
-0.4660 1.3413 
-1.7880 1.6686 
-6.6122 2.2857 
-25.2271 3.5114 
-21.4550 3.3163 
-17.7813 3.1094 
-12.3857 2.7602 
-27.5234 3.6236 
-1.2272 1.5539 
-0.5897 1.3883 
-16.1042 3.0065 
-10.7642 2.6404 
-9.0739 2.5061 
-7.9342 2.4084 
-29.2787 3.7059 
-19.3549 3.1997 
-17.8015 3.1096 
-30.1574 3.7467 
-1.8241 1.6753 
-34.6930 3.9463 
-18.0751 3.1259 
-0.0133 1.0593 
-14.2468 2.8872 
-2.1325 1.7302 
-1.3846 1.5885 
-10.1072 2.5896 
-1.5795 1.6284 
-15.9381 2.9963 
-8.8133 2.4848 
-6.7053 2.2949 
-0.5713 1.3779 
-20.2841 3.2519 
-23.3243 3.4148 
-19.3712 3.2006 
-0.6397 1.3999 
-15.7622 2.9851 
-4.4717 2.0573 
-33.0924 3.8763 
-19.6321 3.2154 
-35.2612 3.9698 
-6.7998 2.3038 
-16.3772 3.0234 
-26.1594 3.5573 
-5.4883 2.1714 
-34.0648 3.9195 
-13.2025 2.8168 
-2.8507 1.8442 
-29.8889 3.7337 
-7.2415 2.3459 
-6.0443 2.2293 
-15.1618 2.9469 
-26.8430 3.5905 
-10.1913 2.5963 
-3.5039 1.9359 
-21.9565 3.3429 
-23.3681 3.4179 
-6.0854 2.2334 
-0.8559 1.4626 
-27.6168 3.6276 
-31.3802 3.8009 
-2.3185 1.7613 
-10.2766 2.6030 
-8.4096 2.4500 
-12.0670 2.7369 
-10.5511 2.6241 
-9.8598 2.5700 
-24.0507 3.4521 
-14.3775 2.8961 
-17.7703 3.1077 
-11.6345 2.7055 
-32.4482 3.8487 
